"ID","grid","month","sex","smi","supp.corrected","treated","Parasite.count","easting","northing"
83,1,9,"M",18.66824721,"Supplemented","Y",0,289876,678890
5,1,9,"M",17.34869781,"Supplemented","N",NA,289876,678890
21,1,7,"M",21.12366083,"Supplemented","Y",NA,289876,678890
38,1,8,"M",20.13560593,"Supplemented","N",NA,289876,678890
83,1,10,"M",17.40636598,"Supplemented","Y",NA,289876,678890
83,1,10,"M",18.09502188,"Supplemented","Y",NA,289876,678890
83,1,11,"M",15.62689077,"Supplemented","Y",0,289876,678890
49,1,7,"F",19.06411512,"Supplemented","Y",NA,289876,678890
49,1,7,"F",20.95213059,"Supplemented","Y",51.51175812,289876,678890
5,1,8,"M",18.09502188,"Supplemented","N",NA,289876,678890
40,1,8,"M",22.37961341,"Supplemented","N",14.28571429,289876,678890
49,1,8,"F",17.89831639,"Supplemented","Y",NA,289876,678880
43,1,8,"F",19.52357623,"Supplemented",NA,17.48807631,289876,678880
50,1,9,"M",17.1426523,"Supplemented","Y",0,289876,678880
49,1,8,"F",22.37961341,"Supplemented","Y",0,289876,678880
43,1,8,"F",23.17390567,"Supplemented",NA,NA,289876,678880
63,1,8,"F",20.36506916,"Supplemented","Y",2.306805075,289876,678880
38,1,8,"M",18.60821069,"Supplemented","N",NA,289876,678880
63,1,8,"F",24.64427097,"Supplemented","Y",NA,289876,678880
15,1,8,"M",19.38984275,"Supplemented","N",15.89242054,289876,678880
36,1,8,"M",18.23524055,"Supplemented","Y",NA,289876,678870
83,1,9,"M",16.57749141,"Supplemented","Y",0,289876,678870
15,1,8,"M",NA,"Supplemented","N",NA,289876,678870
117,1,7,"F",19.84417037,"Supplemented",NA,NA,289876,678870
108,1,10,"M",18.76915668,"Supplemented",NA,0,289876,678870
45,1,7,"M",16.19028273,"Supplemented","N",79.29515419,289876,678870
47,1,8,"F",16.04156094,"Supplemented","N",NA,289876,678870
36,1,8,"M",13.79574241,"Supplemented","Y",42.55319149,289876,678870
36,1,9,"M",17.60414882,"Supplemented","Y",0,289876,678860
119,1,8,"F",15.44927044,"Supplemented",NA,NA,289876,678860
47,1,7,"F",14.75823607,"Supplemented","N",13.00236407,289876,678860
119,1,7,"F",16.79122108,"Supplemented",NA,NA,289876,678860
101,1,10,"M",15.33034756,"Supplemented",NA,NA,289876,678860
93,1,9,"F",NA,"Supplemented",NA,NA,289876,678860
15,1,8,"M",21.13630155,"Supplemented","N",NA,289876,678860
47,1,9,"F",21.55073884,"Supplemented","N",0,289876,678860
36,1,8,"M",15.50077665,"Supplemented","Y",0,289876,678860
72,1,9,"M",15.58885433,"Supplemented",NA,NA,289876,678850
47,1,9,"F",16.36239216,"Supplemented","N",0,289876,678850
93,1,9,"F",18.05085675,"Supplemented",NA,NA,289876,678850
123,1,8,"M",17.42682614,"Supplemented",NA,NA,289876,678850
85,1,9,"M",12.43311856,"Supplemented","Y",0,289876,678850
47,1,8,"F",14.75823607,"Supplemented","N",1.964636542,289876,678850
47,1,8,"F",19.06411512,"Supplemented","N",49.09090909,289876,678850
132,1,9,"F",14.89751078,"Supplemented",NA,NA,289876,678850
47,1,7,"F",40.5655967,"Supplemented","N",NA,289876,678850
36,1,8,"M",15.20097782,"Supplemented","Y",0,289876,678850
38,1,8,"M",19.24987313,"Supplemented","N",NA,289886,678890
49,1,7,"F",16.29716498,"Supplemented","Y",NA,289886,678890
49,1,8,"F",17.32488582,"Supplemented","Y",0,289886,678890
38,1,8,"M",18.03980396,"Supplemented","N",NA,289886,678890
15,1,9,"M",17.0040546,"Supplemented","N",18.86792453,289886,678890
